teacher_id,course_id,course_name
T043,23ENG101,Technical Communication
T036,23ENG101,Technical Communication
T023,23ENG101,Technical Communication
T011,23ENG101,Technical Communication
T014,23ENG101,Technical Communication
T010,23ENG101,Technical Communication
T015,23MAT107,Calculus
T025,23MAT107,Calculus
T019,23MAT107,Calculus
T022,23MAT107,Calculus
T028,23MAT107,Calculus
T032,23MAT107,Calculus
T014,23CSE101,Computational Problem Solving
T019,23CSE101,Computational Problem Solving
T017,23CSE101,Computational Problem Solving
T018,23CSE101,Computational Problem Solving
T040,23CSE101,Computational Problem Solving
T027,23CSE101,Computational Problem Solving
T041,23EEE104,Introduction to Electrical and Electronics Engineering
T020,23EEE104,Introduction to Electrical and Electronics Engineering
T018,23EEE104,Introduction to Electrical and Electronics Engineering
T037,23EEE104,Introduction to Electrical and Electronics Engineering
T011,23EEE104,Introduction to Electrical and Electronics Engineering
T026,23EEE104,Introduction to Electrical and Electronics Engineering
T009,23EEE184,Basic Electrical and Electronics Engineering Practice
T007,23EEE184,Basic Electrical and Electronics Engineering Practice
T027,23EEE184,Basic Electrical and Electronics Engineering Practice
T011,23EEE184,Basic Electrical and Electronics Engineering Practice
T038,23EEE184,Basic Electrical and Electronics Engineering Practice
T032,23EEE184,Basic Electrical and Electronics Engineering Practice
T035,23CSE102,Computer Hardware Essentials
T002,23CSE102,Computer Hardware Essentials
T022,23CSE102,Computer Hardware Essentials
T028,23CSE102,Computer Hardware Essentials
T038,23CSE102,Computer Hardware Essentials
T016,23CSE102,Computer Hardware Essentials
T042,22ADM101,Foundations of Indian Heritage
T020,22ADM101,Foundations of Indian Heritage
T008,22ADM101,Foundations of Indian Heritage
T016,22ADM101,Foundations of Indian Heritage
T034,22ADM101,Foundations of Indian Heritage
T007,22ADM101,Foundations of Indian Heritage
T010,22AVP103,Mastery Over Mind
T019,22AVP103,Mastery Over Mind
T026,22AVP103,Mastery Over Mind
T009,22AVP103,Mastery Over Mind
T018,22AVP103,Mastery Over Mind
T007,22AVP103,Mastery Over Mind
T003,23MAT206,Optimization Techniques
T015,23MAT206,Optimization Techniques
T025,23MAT206,Optimization Techniques
T009,23MAT206,Optimization Techniques
T004,23MAT206,Optimization Techniques
T035,23MAT206,Optimization Techniques
T034,23CSE205,Digital Electronics
